id,lat,lng,demand,service_sec,tw_start_offset_min,tw_end_offset_min,priority
O1,28.77052157977832,77.1593377382561,3,60,30,192,2
O2,28.58406454895109,76.87538023099061,1,180,159,476,2
O3,28.62090688226504,77.0553438250684,3,120,229,476,2
O4,29.076041503714006,77.12790486817383,3,180,73,263,3
O5,28.448320722616664,77.89603596466917,2,60,69,142,3
O6,28.424509422097675,77.10422840510105,3,180,181,504,1
O7,28.541550757800735,77.34884772263007,2,120,143,256,2
O8,28.682840009566533,77.5257140551893,3,120,224,535,1
O9,28.295719936934425,76.64030677272278,2,180,62,401,2
O10,28.722248109323388,76.57574498826544,1,60,24,148,1
O11,28.02247038714209,76.71807434707807,3,180,90,312,2
O12,28.834128910562015,77.27135500452376,2,60,37,231,3
O13,28.331271789103376,77.16877581771264,3,180,71,346,2
O14,28.117544729341965,77.43814219923985,3,60,236,396,3
O15,28.76140285012802,77.47340303494688,3,180,151,493,2
O16,28.488203210355568,77.18713862134065,1,180,72,362,2
O17,29.179664229777483,77.41757412773264,1,180,152,382,2
O18,28.65670526154664,77.42741580004561,3,120,37,162,2
O19,28.42145612065625,77.09543841259921,2,120,84,271,3
O20,28.516376584454413,77.45077560384055,1,60,130,472,2
O21,28.707271258533876,77.30276675791802,3,120,209,405,2
O22,28.268230605091464,77.53761139336774,3,180,127,346,2
O23,28.31653974507789,77.71327887579318,1,120,61,388,2
O24,28.00888204923003,77.1994766522432,1,60,196,368,3
O25,28.474604407090897,77.17876928639888,1,60,156,341,1
O26,28.721050754473268,77.2063491715855,3,180,212,455,2
O27,28.361071400745594,77.70611567128385,2,120,223,522,2
O28,28.62276019114583,76.77902602576252,1,180,157,468,2
O29,28.616783352260406,77.07770429978521,3,180,61,248,2
O30,28.7658754041901,77.5417678785223,1,60,187,397,2
O31,28.289847024836963,77.47524143846975,2,60,69,130,3
O32,28.63370955847443,77.38916516030967,3,180,18,310,2
O33,28.778476169338663,77.31567200753268,2,60,161,336,1
O34,28.706310239328413,76.95241672580237,1,120,137,390,2
O35,28.23826376214331,77.44482325216765,1,60,151,487,1
O36,29.03742150838187,76.94516257163956,3,60,137,229,2
O37,29.33072054532083,77.26179087587249,2,120,167,264,3
O38,28.900998447273093,77.19832314067047,3,120,30,375,2
O39,28.881956039408426,77.35064042142358,1,180,13,107,2
O40,28.05161362904691,77.12167010277118,2,180,133,425,3
O41,28.80502187124746,76.51066472359713,3,180,197,372,2
O42,28.943584602631724,77.08610832701584,3,120,34,316,3
O43,28.814160714248374,76.82100962295017,3,120,136,350,2
O44,28.892272235295753,77.0476172581356,1,180,185,283,2
O45,28.77629850767841,77.39354345885674,1,60,69,164,2
O46,29.033547265576786,77.56394611612075,2,180,224,426,2
O47,28.665934215620062,76.90156441763094,2,180,162,407,2
O48,28.830288348316287,76.62973899744807,2,60,189,418,3
O49,28.332285499306103,77.08873915439024,1,60,69,236,2
O50,29.367199626204833,77.87112388731256,3,60,123,306,2
O51,28.58009994026451,77.03435875200654,3,120,192,480,1
O52,28.57110623080056,76.92398605533785,1,60,67,248,1
O53,28.714096812029723,76.62991448160264,1,60,126,457,2
O54,28.36555705529225,77.89993423424342,1,180,204,339,2
O55,28.39948421897182,77.11438895505302,3,60,103,400,3
O56,28.83433453482072,77.42447299910593,1,120,231,313,1
O57,28.61447185938571,77.48051951377028,1,60,13,88,1
O58,28.550062041404466,77.23087305917979,3,120,172,264,2
O59,28.83047385537666,77.23449212379654,3,60,170,397,3
O60,28.702501039375914,76.98533657944112,1,120,17,169,3
O61,28.41769909214667,77.08131432999966,1,120,84,360,3
O62,28.352505176736283,77.00779218853616,1,180,186,344,2
O63,29.016767309482837,76.99651729185545,3,120,233,329,2
O64,28.974737871546072,77.51713086866759,3,60,39,371,2
O65,27.839298557639022,77.18151094295169,1,180,28,264,1
O66,28.737516812077846,77.16427258021531,3,180,120,323,2
O67,28.296687312139735,76.77288343061836,3,60,237,349,2
O68,28.393448376277323,77.20583306207924,3,120,142,364,3
O69,28.35360809110146,77.09356349430941,1,120,195,507,3
O70,28.16001571277315,77.0712575911491,1,120,36,217,1
O71,28.115180293725146,77.2373787377673,1,60,95,299,3
O72,28.387363533839324,77.13233329552884,1,120,176,326,2
O73,28.385506460926592,76.53525118029098,1,60,229,414,1
O74,29.014709350534524,77.48588134094877,1,120,200,376,3
O75,28.684559791561846,77.21352298314397,1,180,156,235,1
O76,28.465109789692566,77.00922888478175,3,180,10,123,2
O77,28.578921461738442,77.55967417237537,1,120,101,324,2
O78,28.93949472198765,76.55883061505165,1,60,237,488,2
O79,29.15868528792972,76.67288215171219,1,60,55,149,3
O80,28.197610250038537,77.86682985074657,2,120,118,182,1
O81,28.98579553356077,77.04047982638092,3,60,20,361,2
O82,28.577783832578003,77.65360325011866,3,180,138,203,2
O83,29.13065765336116,77.28990083232087,3,60,32,144,3
O84,28.471987463947986,77.43271744626341,2,60,119,179,3
O85,28.182362576180495,77.40133984624693,1,120,101,255,1
O86,28.69031152263882,77.94439200107381,2,180,132,459,3
O87,28.74434998196687,77.69105610573187,3,180,160,426,2
O88,28.97639376359602,77.39764740446869,3,120,201,512,3
O89,29.121740055971312,77.66659746143792,3,180,188,496,2
O90,28.460431465211748,77.6883109149523,3,120,60,200,3
O91,28.07679742903216,77.18904818063298,1,120,15,127,2
O92,28.73232867008746,76.71634766527603,3,180,120,428,2
O93,28.057643770490966,77.74773533057437,1,180,105,359,2
O94,28.63787911167904,77.33577741500774,3,180,30,94,2
O95,28.539529790222762,77.1814276670814,2,60,142,434,2
O96,28.229691554549277,76.79223034489158,2,60,56,236,2
O97,28.227306710387985,77.22396547832003,1,60,35,386,3
O98,28.381697963702546,77.41714844488223,3,180,136,251,2
O99,28.136137052459915,77.69995874398401,2,60,163,236,1
O100,28.740095170849067,76.92721623743991,3,120,116,414,1
O101,28.500951152998404,77.53293450577661,3,180,201,379,2
O102,28.410025667130736,76.82052575473847,1,60,22,293,2
O103,29.03739962733127,76.7393110995296,2,180,237,407,2
O104,29.27116759521581,77.70858964752975,3,120,178,338,2
O105,28.905937965437907,77.89483103645664,3,60,207,495,3
O106,28.54886969762653,76.39079769520644,2,180,199,353,1
O107,28.865358983394064,77.26115490901911,3,120,127,280,1
O108,28.780486318351922,77.28353183725267,3,180,145,230,2
O109,28.404964580512573,77.41394965215432,2,180,221,505,2
O110,29.196281185591587,77.3045267562702,2,120,46,244,3
